List	Class	Genes
COSMIC CGC 20171009	Cancer	GATA2
COSMIC CGC 20171009	Cancer	GATA3
COSMIC CGC 20171009	Cancer	GNA11
COSMIC CGC 20171009	Cancer	GNAQ
COSMIC CGC 20171009	Cancer	GNAS
COSMIC CGC 20171009	Cancer	GOLGA5
COSMIC CGC 20171009	Cancer	GOPC
COSMIC CGC 20171009	Cancer	GPC3
COSMIC CGC 20171009	Cancer	GPHN
COSMIC CGC 20171009	Cancer	GRIN2A
COSMIC CGC 20171009	Cancer	H3F3A
COSMIC CGC 20171009	Cancer	H3F3B
COSMIC CGC 20171009	Cancer	HERPUD1
COSMIC CGC 20171009	Cancer	HEY1
COSMIC CGC 20171009	Cancer	HIF1A
COSMIC CGC 20171009	Cancer	HIP1
COSMIC CGC 20171009	Cancer	HIST1H3B
COSMIC CGC 20171009	Cancer	HIST1H4I
COSMIC CGC 20171009	Cancer	HLA-A
COSMIC CGC 20171009	Cancer	HLF
COSMIC CGC 20171009	Cancer	HMGA1
COSMIC CGC 20171009	Cancer	HMGA2
COSMIC CGC 20171009	Cancer	HNF1A
COSMIC CGC 20171009	Cancer	HNRNPA2B1
COSMIC CGC 20171009	Cancer	HOOK3
COSMIC CGC 20171009	Cancer	HOXA11
COSMIC CGC 20171009	Cancer	HOXA13
COSMIC CGC 20171009	Cancer	HOXA9
COSMIC CGC 20171009	Cancer	HOXC11
COSMIC CGC 20171009	Cancer	HOXC13
COSMIC CGC 20171009	Cancer	HOXD11
COSMIC CGC 20171009	Cancer	HOXD13
COSMIC CGC 20171009	Cancer	HRAS
COSMIC CGC 20171009	Cancer	HSP90AA1
COSMIC CGC 20171009	Cancer	HSP90AB1
COSMIC CGC 20171009	Cancer	IDH1
COSMIC CGC 20171009	Cancer	IDH2
COSMIC CGC 20171009	Cancer	IGH
COSMIC CGC 20171009	Cancer	IGK
COSMIC CGC 20171009	Cancer	IGL
COSMIC CGC 20171009	Cancer	IKBKB
COSMIC CGC 20171009	Cancer	IKZF1
COSMIC CGC 20171009	Cancer	IL2
COSMIC CGC 20171009	Cancer	IL21R
COSMIC CGC 20171009	Cancer	IL6ST
COSMIC CGC 20171009	Cancer	IL7R
COSMIC CGC 20171009	Cancer	IRF4
COSMIC CGC 20171009	Cancer	ITK
COSMIC CGC 20171009	Cancer	JAK1
COSMIC CGC 20171009	Cancer	JAK2
COSMIC CGC 20171009	Cancer	JAK3
COSMIC CGC 20171009	Cancer	JUN
COSMIC CGC 20171009	Cancer	KAT6A
COSMIC CGC 20171009	Cancer	KAT6B
COSMIC CGC 20171009	Cancer	KCNJ5
COSMIC CGC 20171009	Cancer	KDM5A
COSMIC CGC 20171009	Cancer	KDM5C
COSMIC CGC 20171009	Cancer	KDM6A
COSMIC CGC 20171009	Cancer	KDR
COSMIC CGC 20171009	Cancer	KDSR
COSMIC CGC 20171009	Cancer	KEAP1
COSMIC CGC 20171009	Cancer	KIF5B
COSMIC CGC 20171009	Cancer	KIT
COSMIC CGC 20171009	Cancer	KLF4
COSMIC CGC 20171009	Cancer	KLF6
COSMIC CGC 20171009	Cancer	KLK2
COSMIC CGC 20171009	Cancer	KMT2A
COSMIC CGC 20171009	Cancer	KMT2C
COSMIC CGC 20171009	Cancer	KMT2D
COSMIC CGC 20171009	Cancer	KRAS
COSMIC CGC 20171009	Cancer	KTN1
COSMIC CGC 20171009	Cancer	LASP1
COSMIC CGC 20171009	Cancer	LCK
COSMIC CGC 20171009	Cancer	LEF1
COSMIC CGC 20171009	Cancer	LIFR
COSMIC CGC 20171009	Cancer	LMNA
COSMIC CGC 20171009	Cancer	LMO1
COSMIC CGC 20171009	Cancer	LMO2
COSMIC CGC 20171009	Cancer	LPP
COSMIC CGC 20171009	Cancer	LRIG3
COSMIC CGC 20171009	Cancer	LRP1B
COSMIC CGC 20171009	Cancer	LYL1
COSMIC CGC 20171009	Cancer	LZTR1
COSMIC CGC 20171009	Cancer	MAF
COSMIC CGC 20171009	Cancer	MAFB
COSMIC CGC 20171009	Cancer	MALT1
COSMIC CGC 20171009	Cancer	MAML2
COSMIC CGC 20171009	Cancer	MAP2K1
COSMIC CGC 20171009	Cancer	MAP2K2
COSMIC CGC 20171009	Cancer	MAP2K4
